surah,verse,tokens,seconds_husary,seconds_minshawi,seconds_abdulbasitmurattal,seconds_abdurrahmaansudais,seconds_saoodshuraym
3,177,12,18.9,15.3,14.6,9.7,9.3
3,178,17,36.3,27.4,26.2,16.1,14.2
3,179,36,61.6,44.1,43,32.1,26.6
3,180,30,55.5,36.5,37.2,24,22.3
3,181,22,39.7,30.4,30.6,20.5,18
3,182,9,19.4,12,11.9,8.4,9.1
3,183,28,56.3,39.7,40.5,28.8,24.1
3,184,12,23.6,17,17.9,11.8,10.6
3,185,23,46.7,32.9,35.3,33.4,22
3,186,24,47.8,35.2,44.5,20.8,19.7
3,187,21,50.3,31.8,28.4,19.9,17.6
3,188,20,46,36.7,34.6,15.3,18.5
3,189,9,18.4,12.7,12,7.8,7.3
3,190,11,22.9,15.4,15.3,10.8,9.4
3,191,21,53.1,35,35.8,21.9,18.2
3,192,11,24.7,17,17.1,11.7,9.2
3,193,20,48,30.3,30.5,19,18.6
3,194,14,26.1,19.2,17.9,12.8,10.4
3,195,43,96.2,64.5,73.7,50.3,41.5
3,196,7,13.5,8.7,9.5,7,5
3,197,7,18.9,11.2,12.7,9.2,6.7
3,198,21,39.5,25.2,28,18.5,17.7
3,199,30,56.6,43.3,46.8,29.5,23.4
3,200,10,21,14,14.7,13.1,11.1
4,1,28,66.4,43.8,41.9,30.4,24.6
4,2,16,37.9,25,25.3,15,13.2
4,3,28,51.8,31.3,32.9,23.9,19.4
4,4,14,30.9,21.7,21.6,16.3,14.7
4,5,16,31.7,19.6,19.9,16.4,13.3
4,6,37,86.3,61.3,60.2,41.8,31.3
4,7,19,40,28.2,28.4,20.1,18.2
4,8,13,24.9,15.7,16.5,11.6,10.9
4,9,15,31.3,18.4,19.4,17.5,12
4,10,13,28.2,17.9,18.1,14.2,11.1
4,11,71,144.8,95.4,96.9,72.1,54.2
4,12,88,157.2,105.8,111.1,71.2,59.6
4,13,18,39.5,24,24.2,16.2,14.2
4,14,13,26.4,16.9,17.2,16.7,13.1
4,15,22,48.7,32.8,34.1,22.2,19.4
4,16,14,34.7,20.3,21.7,13.2,11.9
4,17,20,42.2,32.6,29,24.3,16.9
4,18,24,46,40.9,30.1,23.9,19.1
4,19,34,79.1,53.1,53.6,33.5,33.2
4,20,17,42.2,26,26.6,17.1,15.6
4,21,11,22.1,15.5,15,10,9.1
4,22,17,38.1,24.6,25.3,21.8,15.8
4,23,54,155.8,109,104.2,68.2,49.9
4,24,42,88.2,59.4,57.4,43.8,35.8
